state,year,tax_legis,lastdemmargin,term_length,years_left_before_limit,sen_dem_per_2pty,hs_dem_per_2pty,veto_override_prop,vote_nec_budg,vote_nec_any_tax_inc,statename,total_taxes,property_tax,tot_sales_&_gr_rec_tax,total_gen_sales_tax,total_select_sales_tax,alcoholic_beverage_tax,amusement_tax,insurance_premium_tax,motor_fuels_tax,parimutuels_tax,public_utility_tax,tobacco_tax,other_select_sales_tax,total_license_taxes,alcoholic_beverage_lic,amusement_license,corporation_license,hunt_and_fish_license,motor_veh_&_oper_lic,motor_vehicle_license,motor_veh_oper_license,public_utility_license,occup_and_bus_lic_nec,other_license_taxes,total_income_taxes,individual_income_tax,corp_net_income_tax,total_other_taxes,death_and_gift_tax,docum_and_stock_tr_tax,severance_tax,taxes_nec,stateno,gub_election,gub_election_regime,new_gov_b,years_served,budgets_overseen,years_left_in_term,limit_exists,limit_type,lame_duck_last_term,lame_duck_last_year,femgov,govparty_a,state_midterm_penalty,gov_non_maj_pty,gub_party_change,years_since_other_party,region_census,personal_income1000s,pop_annual,disposable_personal_income1000s_annual,pop_growth,pc_inc_ann,state_cpi_bfh,housing_prices_quar,real_pc_inc_quar,gsp_q,total_debt_outstanding,total_revenue,general_revenue,taxes,total_expenditure,general_expenditure,legislative_total_exp,budget_surplus,total_debt_outstanding_gsp,total_revenue_gsp,general_revenue_gsp,taxes_gsp,total_expenditure_gsp,general_expenditure_gsp,budget_surplus_gsp,total_debt_outstanding_inc,total_revenue_inc,general_revenue_inc,taxes_inc,total_expenditure_inc,general_expenditure_inc,budget_surplus_inc,real_leg_tot_exp
AK,1913,137340.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1915,96002.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1917,98636.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1919,87936.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1921,62308.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1923,108562.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1925,47801.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1927,57981.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1929,109275.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1931,83239.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1933,81930.0,,,,,,,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1935,60345.0,,,,,,0.6666667,0.5,0.5,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
